domain, useragent, type, directory 
dailymail.co.uk, ahrefsbot, disallow, /
dailymail.co.uk, crystalsemanticsbot, disallow, /
dailymail.co.uk, ahrefsbot, disallow, /
dailymail.co.uk, ia_archiver, disallow, /*/article-*
dailymail.co.uk, nutch, disallow, /
amazon.co.uk, *, disallow, /exec/obidos/account-access-login
amazon.co.uk, *, disallow, /exec/obidos/change-style
amazon.co.uk, *, disallow, /exec/obidos/flex-sign-in
amazon.co.uk, *, disallow, /exec/obidos/handle-buy-box
amazon.co.uk, *, disallow, /exec/obidos/tg/cm/member/
amazon.co.uk, *, disallow, /exec/obidos/refer-a-friend-login
amazon.co.uk, *, disallow, /exec/obidos/subst/partners/friends/access.html
amazon.co.uk, *, disallow, /exec/obidos/subst/marketplace/sell-your-stuff.html
amazon.co.uk, *, disallow, /exec/obidos/subst/marketplace/sell-your-collection.html
amazon.co.uk, *, disallow, /gp/cart
amazon.co.uk, *, disallow, /gp/customer-media/upload
amazon.co.uk, *, disallow, /gp/flex
amazon.co.uk, *, disallow, /gp/sign-in
amazon.co.uk, *, disallow, /gp/slides/make-money
amazon.co.uk, *, disallow, /gp/yourstore
amazon.co.uk, *, disallow, /gp/legacy-handle-buy-box.html
amazon.co.uk, *, disallow, /gp/content-form
amazon.co.uk, *, disallow, /gp/customer-reviews/common/du
amazon.co.uk, *, disallow, /gp/customer-reviews/write-a-review.html
amazon.co.uk, *, disallow, /gp/vote
amazon.co.uk, *, disallow, /gp/voting/
amazon.co.uk, *, disallow, /gp/product/product-availability
amazon.co.uk, *, disallow, /gp/reader
amazon.co.uk, *, disallow, /gp/gfix
amazon.co.uk, *, disallow, /gp/customer-images
amazon.co.uk, *, disallow, /gp/music/clipserve
amazon.co.uk, *, disallow, /gp/offer-listing
amazon.co.uk, *, disallow, /gp/richpub/listmania/createpipeline
amazon.co.uk, *, disallow, /gp/history
amazon.co.uk, *, disallow, /gp/item-dispatch
amazon.co.uk, *, disallow, /gp/recsradio
amazon.co.uk, *, disallow, /dp/twister-update/
amazon.co.uk, *, disallow, /dp/product-availability/
amazon.co.uk, *, disallow, /gp/registry/wishlist/*/reserve
amazon.co.uk, *, disallow, /gp/structured-ratings/actions/get-experience.html
amazon.co.uk, *, disallow, /gp/twitter/
amazon.co.uk, *, disallow, /ap/signin
amazon.co.uk, *, disallow, /gp/registry/wishlist/
amazon.co.uk, *, disallow, /wishlist/
amazon.co.uk, *, allow, /wishlist/universal*
amazon.co.uk, *, allow, /wishlist/vendor-button*
amazon.co.uk, *, allow, /wishlist/get-button*
amazon.co.uk, *, disallow, /gp/wishlist/
amazon.co.uk, *, allow, /gp/wishlist/universal*
amazon.co.uk, *, allow, /gp/wishlist/vendor-button*
amazon.co.uk, *, allow, /gp/wishlist/ipad-install*
amazon.co.uk, *, disallow, /registry/wishlist/
amazon.co.uk, *, disallow, /gp/registry/search.html
amazon.co.uk, *, disallow, /gp/orc/rml/
amazon.co.uk, *, disallow, /gp/dmusic/mp3/player
amazon.co.uk, *, disallow, /gp/redirect.html
amazon.co.uk, *, disallow, /gp/customer-media/actions/delete/
amazon.co.uk, *, disallow, /gp/customer-media/actions/edit-caption/
amazon.co.uk, *, disallow, /gp/dmusic/
amazon.co.uk, *, disallow, /local/ajax/
amazon.co.uk, *, disallow, /gp/aag
amazon.co.uk, *, disallow, /gp/socialmedia/giveaways
amazon.co.uk, *, disallow, /gp/rentallist
amazon.co.uk, *, disallow, /gp/video/dvd-rental/settings
amazon.co.uk, *, disallow, /gp/rl/settings
amazon.co.uk, *, disallow, /gp/video/settings
amazon.co.uk, *, disallow, /gp/video/watchlist
amazon.co.uk, *, disallow, /gp/video/library
amazon.co.uk, etaospider, disallow, /
twitter.com, googlebot, allow, /?_escaped_fragment_
twitter.com, googlebot, allow, /*?lang=
twitter.com, googlebot, allow, /hashtag/*?src=
twitter.com, googlebot, allow, /search?q=%23
twitter.com, googlebot, disallow, /search/realtime
twitter.com, googlebot, disallow, /search/users
twitter.com, googlebot, disallow, /search/*/grid
twitter.com, googlebot, disallow, /*?
twitter.com, googlebot, disallow, /*/followers
twitter.com, googlebot, disallow, /*/following
twitter.com, googlebot, disallow, /account/not_my_account
